sr.no.,province,division,district,households,population_2023,average_household_size,population_2017,growth_rate,area(km²),density_2023(people/km²),primary_boys_schools,primary_girls_schools,secondary_boys_schools,secondary_girls_schools,high_boys_schools,high_girls_schools,Intermediate_boys_schools,Intermediate_girls_schools,total_boys_schools,total_girls_schools,total_schools
1,Balochistan,Kalat,Awaran,27808,178958,6.44,121821,6.64,29510,6.06,194,107,24,13,29,10,2,2,249,132,381
2,Balochistan,Kalat,Kalat,33415,272506,8.16,211201,4.35,6622,41.15,218,84,23,18,27,17,1,1,269,120,389
3,Balochistan,Kalat,Khuzdar,161594,997214,6.17,798896,3.78,35380,28.19,486,177,45,46,32,21,6,1,569,245,814
4,Balochistan,Kalat,Lasbela,115635,680977,5.89,576271,2.83,15153,44.94,430,124,46,29,27,11,4,4,507,168,675
5,Balochistan,Kalat,Mastung,43736,313271,7.16,265676,2.79,5896,53.13,224,94,24,31,18,18,2,0,268,143,411
6,Balochistan,Kalat,Surab,51021,278092,5.45,200857,5.59,762,364.95,127,68,14,11,8,5,3,1,152,85,237
7,Balochistan,Loralai,Barkhan,23069,210249,9.11,171025,3.51,3514,59.83,435,153,18,25,14,9,4,1,471,188,659
8,Balochistan,Loralai,Duki,43069,205044,4.76,152977,5.02,4233,48.44,279,98,19,9,13,3,0,1,311,111,422
9,Balochistan,Loralai,Loralai,38284,272432,7.12,244446,1.83,9830,27.71,248,95,22,18,13,13,0,1,283,127,410
10,Balochistan,Loralai,Musakhel,31257,182275,5.83,167243,1.45,5728,31.82,226,60,20,13,14,7,1,1,261,81,342
11,Balochistan,Mekran,Gwadar,50376,305160,6.06,262253,2.56,12637,24.15,164,61,24,22,23,13,1,2,212,98,310
12,Balochistan,Mekran,Kech,253526,1060931,4.18,907182,2.65,22539,47.07,341,190,57,32,45,34,7,8,450,264,714
13,Balochistan,Mekran,Panjgur,117157,509781,4.35,315353,8.36,16891,30.18,198,138,28,21,21,16,3,3,250,178,428
14,Balochistan,Nasirabad,Jaffarabad,81580,594558,7.29,513972,2.46,2445,243.17,383,139,34,18,20,13,2,0,439,170,609
15,Balochistan,Nasirabad,Jhal_Magsi,30967,203368,6.57,148900,5.35,3615,56.26,185,79,18,18,16,7,1,0,220,104,324
16,Balochistan,Nasirabad,Kachhi,50035,442612,8.85,309932,6.14,7499,59.02,339,71,21,17,22,13,3,2,385,103,488
17,Balochistan,Nasirabad,Nasirabad,87540,563377,6.44,487847,2.43,3387,166.34,378,157,25,24,24,10,3,1,430,192,622
18,Balochistan,Nasirabad,Sohbatpur,33738,240106,7.12,200426,3.06,1412,170.05,267,125,26,25,18,8,5,2,316,160,476
19,Balochistan,Quetta,Chaman,61942,466218,7.53,434561,1.18,1341,347.66,157,23,15,7,11,7,0,0,183,37,220
20,Balochistan,Quetta,Killa_Abdullah,67308,361971,5.38,323793,1.88,3293,109.92,288,36,26,6,20,8,3,0,337,50,387
21,Balochistan,Quetta,Pishin,147241,835482,5.67,736903,2.12,7819,106.85,653,195,62,61,43,24,1,1,759,281,1040
22,Balochistan,Quetta,Quetta,288690,2595492,8.99,2269473,2.27,2653,978.32,326,121,46,57,44,69,6,8,422,255,677
23,Balochistan,Rakhshan,Chagai,38234,269192,7.04,226517,2.93,44748,6.02,194,53,20,17,16,8,4,3,234,81,315
24,Balochistan,Rakhshan,Kharan,35879,260352,7.26,162766,8.17,8958,29.06,157,43,28,18,11,11,6,1,202,73,275
25,Balochistan,Rakhshan,Nushki,31268,207834,6.65,178947,2.53,5797,35.85,135,50,18,30,21,13,2,3,176,96,272
26,Balochistan,Rakhshan,Washuk,49080,302623,6.17,175712,9.51,29510,10.25,144,31,17,8,14,6,2,2,177,47,224
27,Balochistan,Sibi,Dera_Bugti,62298,355274,5.70,313110,2.13,10160,34.97,262,55,28,13,30,7,2,1,322,76,398
28,Balochistan,Sibi,Harnai,16400,127571,7.78,97052,4.68,4096,31.15,117,43,13,13,10,7,1,1,141,64,205
29,Balochistan,Sibi,Kohlu,38115,260220,6.83,213933,3.33,7610,34.19,356,67,22,24,16,9,2,2,396,102,498
30,Balochistan,Sibi,Sibi,31303,224148,7.16,179751,3.76,7796,28.75,148,68,19,20,16,19,2,0,185,107,292
31,Balochistan,Sibi,Ziarat,22900,189535,8.28,160095,2.86,1489,127.29,172,64,12,21,18,9,0,2,202,96,298
32,Balochistan,Zhob,Killa_Saifullah,70021,380200,5.43,342932,1.74,6831,55.66,456,116,26,26,26,10,2,0,510,152,662
33,Balochistan,Zhob,Sherani,36108,191687,5.31,152952,3.84,2800,68.46,175,16,14,3,6,3,0,1,195,23,218
34,Balochistan,Zhob,Zhob,47925,355692,7.42,310354,2.30,20297,17.52,277,54,27,13,17,8,6,2,327,77,404
